Título,Descrição,Preço,Local,Ano,KM Rodado
Volkswagen Gol,Gol Power 1.6 (G4) (Flex) manual,"R$ 25.900,00","Viamão, RS",2006/2006,300 Km
Chevrolet Astra Sedan,Astra Sedan Elegance 2.0 (Flex) manual,"R$ 25.900,00","Rio de Janeiro, RJ",2004/2005,258.471 Km
Ford EcoSport,Ecosport XLT 1.6 8V manual,"R$ 25.900,00","Criciúma, SC",2005/2005,145.000 Km
Volkswagen Fox,Fox Plus 1.6 8V (Flex) manual,"R$ 25.900,00","São Carlos, SP",2005/2005,115.000 Km
Volkswagen Fox,Fox Plus 1.6 8V (Flex) 2p manual,"R$ 25.900,00","São Paulo, SP",2005/2005,204.000 Km
Fiat Punto,Punto ELX 1.4 (Flex) manual,"R$ 25.950,00","Rio de Janeiro, RJ",2007/2008,N/D
Volkswagen Gol,Gol 1.0 8V (G4)(Flex)4p manual,"R$ 25.980,00","Mogi das Cruzes, SP",2011/2012,113.800 Km
Volkswagen Gol,Gol 1.0 8V (G4)(Flex)2p manual,"R$ 25.990,00","Brasília, DF",2012/2013,200.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 25.990,00","Rio Claro, SP",2012/2012,122.202 Km
Fiat Uno,Uno Attractive 1.4 8V (Flex) 4p manual,"R$ 25.990,00","Rio de Janeiro, RJ",2010/2011,87.654 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 25.990,00","São Paulo, SP",2011/2011,199.319 Km
Chevrolet Corsa Hatch,Corsa Hatch Maxx 1.4 (Flex) manual,"R$ 25.990,00","Rio das Ostras, RJ",2011/2011,163.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 25.990,00","Vinhedo, SP",2010/2011,125.000 Km
Citroën C3,C3 GLX 1.4 8V (flex) manual,"R$ 25.990,00","Porto Alegre, RS",2011/2011,101.617 Km
Citroën C3,C3 Exclusive 1.4 8V (flex) manual,"R$ 25.990,00","Porto Alegre, RS",2010/2011,111.509 Km
Citroën C3,C3 GLX 1.4 8V (flex) manual,"R$ 25.990,00","Gravataí, RS",2011/2011,101.617 Km
Citroën C3,C3 Exclusive 1.4 8V (flex) manual,"R$ 25.990,00","Gravataí, RS",2010/2011,111.509 Km
Citroën C3,C3 GLX 1.4 8V (flex) manual,"R$ 25.990,00","Porto Alegre, RS",2011/2011,101.617 Km
Citroën C3,C3 Exclusive 1.4 8V (flex) manual,"R$ 25.990,00","Porto Alegre, RS",2010/2011,111.509 Km
Citroën C3,C3 GLX 1.4 8V (flex) manual,"R$ 25.990,00","Porto Alegre, RS",2011/2011,101.617 Km
Citroën C3,C3 Exclusive 1.4 8V (flex) manual,"R$ 25.990,00","Porto Alegre, RS",2010/2011,111.509 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 25.990,00","São Paulo, SP",2009/2010,100.000 Km
Renault Clio Sedan,Clio Sedan Privilége 1.6 16V (flex) manual,"R$ 25.990,00","Brasília, DF",2008/2009,152.350 Km
Chevrolet Corsa Sedan,Corsa Sedan Premium 1.4 (Flex) manual,"R$ 25.990,00","Brasília, DF",2009/2009,195.000 Km
Ford Fiesta Hatch,Fiesta Hatch Trail 1.6 (Flex) manual,"R$ 25.990,00","Guará, DF",2008/2009,231.498 Km
Ford Focus Hatch,Focus Hatch GL 1.6 8V (Flex) manual,"R$ 25.990,00","Santo André, SP",2009/2009,126.000 Km
Chevrolet Prisma,Prisma Maxx 1.4 (Flex) manual,"R$ 25.990,00","Santo André, SP",2008/2009,174.000 Km
Volkswagen Fox,Fox Plus 1.6 8V (Flex) manual,"R$ 25.990,00","Campinas, SP",2006/2006,150.000 Km
Citroën C3,C3 GLX 1.4 8V (flex) manual,"R$ 25.999,00","São Bernardo do Campo, SP",2009/2010,96.000 Km
Ford Fiesta Sedan,Fiesta Sedan Class 1.6 (Flex) manual,"R$ 25.999,00","Taboão da Serra, SP",2009/2009,122.000 Km
Honda Fit,Fit LX 1.4 manual,"R$ 25.999,00","São José do Rio Preto, SP",2005/2006,185.223 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 26.000,00","Sorocaba, SP",2012/2012,149.000 Km
Chevrolet Zafira,Zafira Comfort 2.0 (Flex) manual,"R$ 26.000,00","Atibaia, SP",2006/2007,205.000 Km
Fiat Idea,Idea Essence 1.6 16V E.TorQ (Flex) manual,"R$ 26.099,00","Rio de Janeiro, RJ",2011/2012,103.003 Km
Fiat Uno Mille,Uno Mille Fire Economy Way 1.0 (Flex) 4p manual,"R$ 26.300,00","São Paulo, SP",2012/2013,150.000 Km
Chevrolet Agile,Agile LT 1.4 8V (Flex) manual,"R$ 26.399,00","Rio de Janeiro, RJ",2011/2011,64.547 Km
Chevrolet Agile,Agile LT 1.4 8V (Flex) manual,"R$ 26.399,00","Rio de Janeiro, RJ",2011/2011,63.425 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 26.500,00","Extrema, MG",2013/2013,182.000 Km
Citroën Xsara Picasso,Xsara Picasso GLX 1.6 16V (flex) manual,"R$ 26.500,00","Catanduva, SP",2010/2011,94.000 Km
Fiat Siena,Siena EL 1.0 8V (Flex) manual,"R$ 26.500,00","São Carlos, SP",2010/2010,180.000 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 2p manual,"R$ 26.599,00","Rio de Janeiro, RJ",2010/2011,76.547 Km
Volkswagen Polo Sedan,Polo Sedan 1.6 8V (Flex) manual,"R$ 26.690,00","Campinas, SP",2006/2006,223.733 Km
Peugeot 207,207 Hatch XR 1.4 8V (flex) 4p manual,"R$ 26.777,00","Campinas, SP",2011/2012,112.523 Km
Peugeot 207,207 Hatch XR 1.4 8V (flex) 4p manual,"R$ 26.777,00","Campinas, SP",2011/2012,112.523 Km
Renault Sandero,Sandero Authentique 1.0 16V (flex) manual,"R$ 26.799,00","Rio de Janeiro, RJ",2014/2014,54.237 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 26.800,00","São José do Rio Preto, SP",2011/2012,120.000 Km
Chevrolet Prisma,Prisma Maxx 1.0 (Flex) manual,"R$ 26.800,00","Pompéia, SP",2010/2010,11.111 Km
Ford EcoSport,Ecosport XLS 1.6 (Flex) manual,"R$ 26.800,00","Santos, SP",2006/2007,119.000 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 26.890,00","São Paulo, SP",2009/2010,150.220 Km
Volkswagen Gol,Gol 1.0 TEC City (Flex) 2p manual,"R$ 26.899,00","Rio de Janeiro, RJ",2013/2014,79.836 Km
Peugeot 207,207 Hatch XR 1.4 8V (flex) 4p manual,"R$ 26.899,00","São Paulo, SP",2013/2013,92.964 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 2p manual,"R$ 26.900,00","Sorocaba, SP",2015/2015,101.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 2p manual,"R$ 26.900,00","Quirinópolis, GO",2015/2015,78.398 Km
Volkswagen Gol,Gol 1.0 8V (G4)(Flex)2p manual,"R$ 26.900,00","Curitiba, PR",2013/2014,165.000 Km
Volkswagen Gol,Gol 1.0 TEC (Flex) 2p manual,"R$ 26.900,00","Sorocaba, SP",2014/2014,110.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 26.900,00","Sorocaba, SP",2012/2013,212.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 26.900,00","Santarém, PA",2013/2013,126.000 Km
Volkswagen Gol,Gol 1.0 8V (G4)(Flex)4p manual,"R$ 26.900,00","Rio de Janeiro, RJ",2012/2013,76.540 Km
Volkswagen Gol,Gol 1.0 8V (G4)(Flex)4p manual,"R$ 26.900,00","Barra Mansa, RJ",2012/2013,123.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 26.900,00","Cascavel, PR",2013/2013,80.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 26.900,00","Manaus, AM",2012/2013,188.629 Km
Ford Fiesta Hatch,Fiesta Hatch Rocam 1.0 (Flex) manual,"R$ 26.900,00","Curitiba, PR",2012/2013,112.000 Km
Volkswagen Gol,Gol 1.0 8V (G4)(Flex)2p manual,"R$ 26.900,00","Manaus, AM",2012/2013,148.000 Km
Renault Logan,Logan Expression 1.0 16V (flex) manual,"R$ 26.900,00","Sorocaba, SP",2012/2012,167.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 26.900,00","Curitiba, PR",2011/2012,159.756 Km
Chevrolet Prisma,Prisma 1.4 8V LT (Flex) manual,"R$ 26.900,00","São José dos Campos, SP",2011/2012,179.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 26.900,00","Curitiba, PR",2012/2012,139.000 Km
Renault Logan,Logan Expression 1.6 8V Hi-Torque (flex) manual,"R$ 26.900,00","Jaraguá do Sul, SC",2011/2012,150.000 Km
Citroën C3,C3 GLX 1.4 8V (flex) manual,"R$ 26.900,00","São Paulo, SP",2012/2012,134.000 Km
Ford Fiesta Hatch,Fiesta Hatch 1.0 (Flex) manual,"R$ 26.900,00","Ituiutaba, MG",2011/2012,114.745 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 26.900,00","Rio do Sul, SC",2011/2012,106.380 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 26.900,00","Contagem, MG",2011/2012,151.000 Km
Ford Fiesta Hatch,Fiesta Hatch 1.0 (Flex) manual,"R$ 26.900,00","São José do Rio Preto, SP",2011/2012,65.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 26.900,00","São Paulo, SP",2012/2012,188.890 Km
Chevrolet Celta,Celta LS 1.0 (Flex) 4p manual,"R$ 26.900,00","Rio de Janeiro, RJ",2011/2012,90.000 Km
Renault Symbol,Symbol 1.6 16V Privilège (flex) manual,"R$ 26.900,00","Guarulhos, SP",2010/2011,135.000 Km
Renault Logan,Logan Expression 1.6 8V Hi-Torque (flex) manual,"R$ 26.900,00","Bauru, SP",2011/2011,130.000 Km
Peugeot 207,207 Hatch XS 1.6 16V (flex) (aut) automático,"R$ 26.900,00","Macaé, RJ",2011/2011,79.865 Km
Chevrolet Celta,Celta Spirit 1.0 VHCE (Flex) 4p manual,"R$ 26.900,00","São Paulo, SP",2010/2011,118.000 Km
Citroën C3,C3 Plus 1.4 8V (flex) manual,"R$ 26.900,00","São José, SC",2010/2011,145.000 Km
Renault Logan,Logan Expression 1.6 8V Hi-Torque (flex) manual,"R$ 26.900,00","Ponta Grossa, PR",2011/2011,N/D
Citroën C3,C3 Exclusive 1.4 8V (flex) manual,"R$ 26.900,00","Carapicuíba, SP",2010/2011,120.000 Km
Citroën Xsara Picasso,Xsara Picasso GLX 1.6 16V (flex) manual,"R$ 26.900,00","São José do Rio Preto, SP",2010/2011,169.915 Km
Chevrolet Corsa Hatch,Corsa Hatch Maxx 1.4 (Flex) manual,"R$ 26.900,00","São Paulo, SP",2010/2011,140.361 Km
Volkswagen Voyage,Voyage 1.0 Total Flex manual,"R$ 26.900,00","Osasco, SP",2010/2011,158.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 26.900,00","Curitiba, PR",2010/2011,124.000 Km
Chevrolet Celta,Celta Spirit 1.0 VHCE (Flex) 4p manual,"R$ 26.900,00","Volta Redonda, RJ",2010/2011,135.000 Km
Chevrolet Corsa Hatch,Corsa Hatch Maxx 1.4 (Flex) manual,"R$ 26.900,00","Araranguá, SC",2010/2011,140.000 Km
Citroën C4,C4 GLX 2.0 (aut) (flex) automático,"R$ 26.900,00","Curitiba, PR",2011/2011,103.625 Km
Citroën C3,C3 GLX 1.4 8V (flex) manual,"R$ 26.900,00","Osasco, SP",2011/2011,90.000 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 26.900,00","Mogi das Cruzes, SP",2011/2011,165.015 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 26.900,00","Jacareí, SP",2009/2010,106.000 Km
Chevrolet Prisma,Prisma Maxx 1.4 (Flex) manual,"R$ 26.900,00","Diadema, SP",2010/2010,118.010 Km
Renault Sandero,Sandero Expression 1.0 16V (flex) manual,"R$ 26.900,00","São Paulo, SP",2010/2010,89.000 Km
Fiat Palio,Palio ELX 1.0 (Flex) 4p manual,"R$ 26.900,00","São Paulo, SP",2009/2010,124.360 Km
Chevrolet Meriva,Meriva Joy 1.4 (Flex) manual,"R$ 26.900,00","Palhoça, SC",2010/2010,172.900 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 26.900,00","São José dos Pinhais, PR",2009/2010,174.000 Km
Chevrolet Meriva,Meriva Joy 1.4 (Flex) manual,"R$ 26.900,00","Mogi das Cruzes, SP",2010/2010,224.997 Km
Citroën C3,C3 Exclusive 1.4 8V (flex) manual,"R$ 26.900,00","Mogi das Cruzes, SP",2009/2010,156.255 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 26.900,00","Campo Grande, MS",2009/2010,175.000 Km
Chevrolet Corsa Hatch,Corsa Hatch Premium 1.4 (Flex) manual,"R$ 26.900,00","Parnamirim, RN",2009/2010,145.000 Km
Renault Sandero,Sandero Expression 1.6 8V (flex) manual,"R$ 26.900,00","Campinas, SP",2010/2010,104.000 Km
Renault Symbol,Symbol 1.6 16V Privilège (flex) manual,"R$ 26.900,00","Canoas, RS",2009/2010,136.150 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 26.900,00","São Paulo, SP",2009/2010,159.800 Km
Fiat Palio,Palio ELX 1.0 (Flex) 4p manual,"R$ 26.900,00","Belo Horizonte, MG",2009/2010,114.140 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 26.900,00","Mirassol, SP",2009/2010,127.880 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 26.900,00","São Paulo, SP",2009/2010,168.444 Km
Volkswagen Voyage,Voyage 1.0 Total Flex manual,"R$ 26.900,00","Rio de Janeiro, RJ",2010/2010,93.000 Km
Fiat Punto,Punto ELX 1.4 (Flex) manual,"R$ 26.900,00","Barra Mansa, RJ",2009/2010,N/D
Volkswagen Voyage,Voyage 1.0 Total Flex manual,"R$ 26.900,00","Viamão, RS",2009/2010,120.585 Km
Ford Fiesta Hatch,Fiesta Hatch 1.6 (Flex) manual,"R$ 26.900,00","Porto Alegre, RS",2009/2009,123.747 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 26.900,00","Curitiba, PR",2008/2009,202.000 Km
Chevrolet Prisma,Prisma Joy 1.0 (Flex) manual,"R$ 26.900,00","Botucatu, SP",2009/2009,N/D
Citroën C4 Pallas,C4 Pallas GLX 2.0 16V (flex) (aut) automático,"R$ 26.900,00","Caxias do Sul, RS",2008/2009,N/D
Volkswagen Fox,Fox City 1.0 8V (Flex) manual,"R$ 26.900,00","Franca, SP",2008/2009,163.000 Km
Ford Focus Hatch,Focus Hatch GL 1.6 8V (Flex) manual,"R$ 26.900,00","Vinhedo, SP",2009/2009,149.000 Km
Renault Sandero,Sandero Expression 1.0 16V (flex) manual,"R$ 26.900,00","São Paulo, SP",2009/2009,155.000 Km
Fiat Palio,Palio ELX 1.0 (Flex) 4p manual,"R$ 26.900,00","Contagem, MG",2007/2008,158.000 Km
Chevrolet Meriva,Meriva Premium 1.8 (Flex) (easytronic) automático,"R$ 26.900,00","Belo Horizonte, MG",2008/2008,140.000 Km
Fiat Punto,Punto ELX 1.4 (Flex) manual,"R$ 26.900,00","Cataguases, MG",2008/2008,192.000 Km
Fiat Punto,Punto ELX 1.4 (Flex) manual,"R$ 26.900,00","Vilhena, RO",2007/2008,97.759 Km
Volkswagen Gol,Gol Power 1.6 (G4) (Flex) manual,"R$ 26.900,00","Belo Horizonte, MG",2006/2007,165.100 Km
Fiat Idea,Idea Adventure 1.8 (Flex) manual,"R$ 26.900,00","São Paulo, SP",2006/2007,148.000 Km
Volkswagen SpaceFox,SpaceFox Comfortline 1.6 8V (Flex) manual,"R$ 26.900,00","Osasco, SP",2007/2007,141.000 Km
Chevrolet Vectra,Vectra Expression 2.0 (Flex) manual,"R$ 26.900,00","São José dos Pinhais, PR",2007/2007,128.000 Km
Volkswagen Fox,Fox Plus 1.6 8V (Flex) manual,"R$ 26.900,00","Sorocaba, SP",2006/2006,198.000 Km
Fiat Strada,Strada Fire 1.4 (Flex) manual,"R$ 26.900,00","São José dos Campos, SP",2005/2006,296.233 Km
Fiat Strada,Strada Fire 1.4 (Flex) manual,"R$ 26.900,00","Resende, RJ",2005/2006,245.000 Km
Volkswagen CrossFox,CrossFox 1.6 (Flex) manual,"R$ 26.900,00","Volta Redonda, RJ",2005/2006,170.000 Km
Chevrolet Astra Sedan,Astra Sedan Elegance 2.0 (Flex) manual,"R$ 26.900,00","São Paulo, SP",2004/2005,132.000 Km
Volkswagen Fox,Fox Plus 1.6 8V (Flex) manual,"R$ 26.900,00","Piracicaba, SP",2004/2005,170.000 Km
Volkswagen Polo Sedan,Polo Sedan 1.6 8V manual,"R$ 26.900,00","Blumenau, SC",2004/2005,310.000 Km
Honda Fit,Fit LXL 1.4 manual,"R$ 26.900,00","Vila Velha, ES",2004/2004,136.000 Km
Toyota Corolla,Corolla Sedan XEi 1.8 16V (nova série) manual,"R$ 26.900,00","Goiânia, GO",2002/2003,205.000 Km
Renault Sandero,Sandero Expression 1.0 16V (flex) manual,"R$ 26.950,00","Recife, PE",2010/2011,159.358 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 2p manual,"R$ 26.990,00","Louveira, SP",2015/2015,115.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 2p manual,"R$ 26.990,00","Gravataí, RS",2014/2014,97.000 Km
Ford Fiesta Hatch,Fiesta Hatch Rocam 1.0 (Flex) manual,"R$ 26.990,00","Embu das Artes, SP",2012/2013,88.377 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 26.990,00","Porto Alegre, RS",2012/2013,198.149 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 26.990,00","Gravataí, RS",2012/2013,198.149 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 26.990,00","Porto Alegre, RS",2012/2013,198.149 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 26.990,00","São Leopoldo, RS",2012/2013,198.149 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 26.990,00","Porto Alegre, RS",2012/2013,198.149 Km
Fiat Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 4p manual,"R$ 26.990,00","Praia Grande, SP",2013/2013,145.000 Km
Renault Logan,Logan Expression 1.0 16V (flex) manual,"R$ 26.990,00","Campinas, SP",2011/2012,123.700 Km
Citroën C3,C3 GLX 1.4 8V (flex) manual,"R$ 26.990,00","São Caetano do Sul, SP",2011/2011,147.000 Km
Chevrolet Celta,Celta Spirit 1.0 VHCE (Flex) 4p manual,"R$ 26.990,00","São Paulo, SP",2010/2011,131.000 Km
Citroën Xsara Picasso,Xsara Picasso GLX 1.6 16V (flex) manual,"R$ 26.990,00","Campinas, SP",2010/2011,140.000 Km
Chevrolet Corsa Hatch,Corsa Hatch Maxx 1.4 (Flex) manual,"R$ 26.990,00","São José dos Pinhais, PR",2010/2011,145.000 Km
Citroën C3,C3 Exclusive 1.4 8V (flex) manual,"R$ 26.990,00","São Paulo, SP",2010/2011,118.281 Km
Citroën C3,C3 Plus 1.4 8V (flex) manual,"R$ 26.990,00","Mogi das Cruzes, SP",2010/2011,122.998 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 26.990,00","Taguatinga, DF",2009/2010,190.000 Km
Renault Symbol,Symbol 1.6 16V Privilège (flex) manual,"R$ 26.990,00","São Paulo, SP",2009/2010,106.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 26.990,00","Joinville, SC",2009/2010,140.719 Km
Volkswagen Gol,Gol Trend 1.0 (G5) (Flex) manual,"R$ 26.990,00","Guará, DF",2009/2009,168.236 Km
Peugeot 307,307 Hatch. Presence Pack 1.6 16V (flex) manual,"R$ 26.990,00","Campinas, SP",2008/2009,169.000 Km
Chevrolet Prisma,Prisma Maxx 1.4 (Flex) manual,"R$ 26.990,00","São Paulo, SP",2009/2009,153.355 Km
Fiat Idea,Idea Adventure 1.8 (Flex) manual,"R$ 26.990,00","Mogi das Cruzes, SP",2007/2008,163.000 Km
Ford EcoSport,Ecosport XLS 1.6 8V manual,"R$ 26.990,00","São Paulo, SP",2005/2005,142.000 Km
Chevrolet Celta,Celta LS 1.0 (Flex) 4p manual,"R$ 26.999,00","Hortolândia, SP",2011/2012,114.000 Km
Renault Sandero,Sandero Authentique 1.0 16V (flex) manual,"R$ 27.000,00","Fortaleza, CE",2013/2014,95.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 27.000,00","Rio Grande, RS",2013/2013,133.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 27.000,00","Rondonópolis, MT",2012/2012,119.343 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 27.000,00","Barra do Garças, MT",2012/2012,110.000 Km
Renault Logan,Logan Expression 1.6 8V Hi-Torque (flex) manual,"R$ 27.000,00","Dourados, MS",2010/2011,120.000 Km
Fiat Palio,Palio ELX 1.0 (Flex) 4p manual,"R$ 27.000,00","Rio Branco, AC",2009/2010,155.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 27.099,00","Rio de Janeiro, RJ",2014/2014,57.357 Km
Volkswagen Voyage,Voyage 1.0 Total Flex manual,"R$ 27.199,00","Rio de Janeiro, RJ",2011/2012,92.573 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 27.199,00","Rio de Janeiro, RJ",2011/2011,90.803 Km
Peugeot 207 Sedan,207 Passion XR 1.4 8V (flex) manual,"R$ 27.490,00","Campinas, SP",2012/2013,134.000 Km
Volkswagen Voyage,Voyage 1.0 Total Flex manual,"R$ 27.490,00","São Paulo, SP",2010/2011,158.000 Km
Volkswagen Voyage,Voyage 1.0 Total Flex manual,"R$ 27.490,00","São Paulo, SP",2010/2011,190.622 Km
Chevrolet Prisma,Prisma Maxx 1.4 (Flex) manual,"R$ 27.500,00","Ponta Grossa, PR",2010/2011,120.000 Km
Citroën C3,C3 Exclusive 1.4 8V (flex) manual,"R$ 27.500,00","Piracicaba, SP",2010/2011,128.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 2p manual,"R$ 27.600,00","Campinas, SP",2014/2015,89.859 Km
Volkswagen CrossFox,CrossFox 1.6 (Flex) manual,"R$ 27.600,00","Itápolis, SP",2005/2005,165.000 Km
Ford Ka,Ka 1.0 Fly (Flex) manual,"R$ 27.690,00","Campinas, SP",2012/2013,90.225 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 27.700,00","Caxias do Sul, RS",2009/2010,122.794 Km
Fiat Palio,Palio ELX 1.4 (Flex) manual,"R$ 27.700,00","Guarulhos, SP",2007/2008,148.000 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 27.800,00","Votuporanga, SP",2011/2012,155.000 Km
Ford Fiesta Hatch,Fiesta Hatch 1.6 (Flex) manual,"R$ 27.800,00","Itatiba, SP",2009/2010,104.179 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 27.890,00","Itu, SP",2012/2013,134.155 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 27.890,00","Indaiatuba, SP",2012/2013,134.155 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 27.890,00","São Paulo, SP",2012/2012,152.493 Km
Chevrolet Prisma,Prisma Maxx 1.4 (Flex) manual,"R$ 27.890,00","São José, SC",2010/2011,155.950 Km
Chevrolet Prisma,Prisma Maxx 1.4 (Flex) manual,"R$ 27.890,00","São Paulo, SP",2010/2010,130.000 Km
Volkswagen Fox,Fox City 1.0 8V (Flex) manual,"R$ 27.890,00","São Paulo, SP",2008/2009,199.650 Km
Chevrolet Prisma,Prisma Maxx 1.4 (Flex) manual,"R$ 27.890,00","Diadema, SP",2008/2009,229.090 Km
Volkswagen Fox,Fox Plus 1.0 8V (Flex) manual,"R$ 27.899,00","Osasco, SP",2009/2010,108.000 Km
Ford EcoSport,Ecosport XLS 1.6 (Flex) manual,"R$ 27.899,00","São Paulo, SP",2007/2007,184.121 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 2p manual,"R$ 27.900,00","São Paulo, SP",2013/2014,62.285 Km
Volkswagen Gol,Gol 1.0 8V (G4)(Flex)4p manual,"R$ 27.900,00","Praia Grande, SP",2013/2014,155.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 27.900,00","Curitiba, PR",2012/2013,159.304 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 27.900,00","Anápolis, GO",2012/2013,121.000 Km
Volkswagen Gol,Gol 1.0 8V (G4)(Flex)4p manual,"R$ 27.900,00","São José dos Campos, SP",2012/2013,185.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 27.900,00","São Bernardo do Campo, SP",2013/2013,89.000 Km
Renault Logan,Logan Expression 1.0 16V (flex) manual,"R$ 27.900,00","Porto Alegre, RS",2012/2013,136.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 27.900,00","Blumenau, SC",2012/2013,127.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 27.900,00","São Paulo, SP",2012/2013,86.000 Km
Volkswagen Gol,Gol 1.0 8V (G4)(Flex)4p manual,"R$ 27.900,00","Uberaba, MG",2012/2013,120.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 27.900,00","Hortolândia, SP",2013/2013,124.122 Km
Ford Fiesta Hatch,Fiesta Hatch 1.0 (Flex) manual,"R$ 27.900,00","Mogi Guaçu, SP",2011/2012,143.000 Km
Chevrolet Prisma,Prisma 1.4 8V LT (Flex) manual,"R$ 27.900,00","São Paulo, SP",2011/2012,160.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 27.900,00","São João de Meriti, RJ",2011/2012,N/D
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 27.900,00","Cordeiro, RJ",2011/2012,114.000 Km
Citroën C3,C3 Exclusive 1.4 8V (flex) manual,"R$ 27.900,00","Franco da Rocha, SP",2011/2012,127.130 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 27.900,00","Manaus, AM",2011/2012,107.775 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 27.900,00","São Paulo, SP",2011/2012,179.327 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 27.900,00","Curitiba, PR",2011/2012,166.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 27.900,00","São Paulo, SP",2011/2012,150.000 Km
Ford Fiesta Hatch,Fiesta Hatch 1.0 (Flex) manual,"R$ 27.900,00","Sumaré, SP",2011/2012,167.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 27.900,00","São Paulo, SP",2011/2012,104.600 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 27.900,00","Curitiba, PR",2012/2012,190.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 27.900,00","Curitiba, PR",2011/2012,51.340 Km
