Título,Descrição,Preço,Local,Ano,KM Rodado
Volkswagen Fox,Fox Comfortline 1.6 MSI (Flex) manual,"R$ 44.990,00","Paulo Lopes, SC",2014/2015,64.000 Km
Fiat Punto,Punto Attractive 1.4 (Flex) manual,"R$ 44.990,00","Porto Alegre, RS",2014/2015,N/D
Renault Sandero,Sandero Dynamique 1.6 8V (Flex) manual,"R$ 44.990,00","Belo Horizonte, MG",2014/2015,134.000 Km
Fiat Uno,Uno Way 1.4 8V (Flex) 4p manual,"R$ 44.990,00","Bauru, SP",2015/2015,130.000 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 44.990,00","Itu, SP",2015/2015,115.000 Km
Chevrolet Montana,Montana LS 1.4 (Flex) manual,"R$ 44.990,00","Parnamirim, RN",2014/2015,120.000 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 44.990,00","Campinas, SP",2015/2015,100.000 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 44.990,00","Goiânia, GO",2015/2015,90.000 Km
Renault Sandero,Sandero Dynamique 1.6 8V Easy-r (Flex) automático,"R$ 44.990,00","Recife, PE",2015/2015,111.111 Km
Fiat Punto,Punto Attractive 1.4 (Flex) manual,"R$ 44.990,00","São Paulo, SP",2014/2015,51.342 Km
Ford New Fiesta Hatch,New Fiesta S 1.5 16V manual,"R$ 44.990,00","Recife, PE",2015/2015,98.977 Km
Renault Sandero Stepway,Sandero Stepway 1.6 8V Easy-r (Flex) automático,"R$ 44.990,00","Jundiaí, SP",2015/2015,84.515 Km
Citroën C3,C3 Exclusive 1.5 8V (Flex) manual,"R$ 44.990,00","São Paulo, SP",2014/2015,115.000 Km
Toyota Etios Hatch,Etios Cross 1.5 (Flex) manual,"R$ 44.990,00","São Paulo, SP",2015/2015,100.000 Km
Volkswagen Saveiro,Saveiro Trendline 1.6 MSI CE (Flex) manual,"R$ 44.990,00","Porto Alegre, RS",2015/2015,144.838 Km
Volkswagen Saveiro,Saveiro Trendline 1.6 MSI CE (Flex) manual,"R$ 44.990,00","Gravataí, RS",2015/2015,144.838 Km
Volkswagen Saveiro,Saveiro Trendline 1.6 MSI CE (Flex) manual,"R$ 44.990,00","Porto Alegre, RS",2015/2015,144.838 Km
Fiat Strada,Strada Working 1.4 (Flex) manual,"R$ 44.990,00","Guarulhos, SP",2015/2015,140.000 Km
Chevrolet Cobalt,Cobalt LTZ 1.4 8V (Flex) manual,"R$ 44.990,00","Joinville, SC",2014/2015,99.579 Km
Chevrolet Onix,Onix 1.4 LT SPE/4 manual,"R$ 44.990,00","São Paulo, SP",2014/2015,87.000 Km
Ford New Fiesta Hatch,New Fiesta SE 1.5 16V manual,"R$ 44.990,00","São Paulo, SP",2015/2015,66.230 Km
Volkswagen Fox,Fox Trendline 1.0 TEC (Flex) manual,"R$ 44.990,00","Campinas, SP",2015/2015,94.000 Km
Volkswagen Gol,Gol 1.0 TEC Trendline (Flex) 4p manual,"R$ 44.990,00","Chapecó, SC",2014/2015,104.000 Km
Chevrolet Montana,Montana LS 1.4 (Flex) manual,"R$ 44.990,00","Campinas, SP",2014/2015,147.966 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 44.990,00","Indaiatuba, SP",2015/2015,115.000 Km
Volkswagen Saveiro,Saveiro Trendline 1.6 MSI CE (Flex) manual,"R$ 44.990,00","Porto Alegre, RS",2015/2015,144.838 Km
Volkswagen Saveiro,Saveiro 1.6 Startline CS (Flex) manual,"R$ 44.990,00","São Bernardo do Campo, SP",2014/2015,180.000 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 44.990,00","Vila Velha, ES",2013/2014,118.000 Km
Hyundai HB20,HB20 1.0 Comfort Plus manual,"R$ 44.990,00","Franca, SP",2014/2014,148.000 Km
Volkswagen Fox,Fox 1.6 VHT (Flex) manual,"R$ 44.990,00","Taubaté, SP",2013/2014,83.675 Km
Fiat Palio,Palio Sporting 1.6 16V (Flex) manual,"R$ 44.990,00","Bauru, SP",2013/2014,156.000 Km
